libId,algn_seg_with_mult_algn,aligned,alignment_not_unique,ambiguous,bad_cycles,category,coding_bases,correct_strand_reads,fastq_total_reads,ignored_reads,incorrect_strand_reads,intergenic_bases,intronic_bases,library,mean_read_length,median_3prime_bias,median_5prime_bias,median_5prime_to_3prime_bias,median_cv_coverage,no_feature,not_aligned,pct_adapter,pct_chimeras,pct_coding_bases,pct_correct_strand_reads,pct_intergenic_bases,pct_intronic_bases,pct_mrna_bases,pct_pf_reads,pct_pf_reads_aligned,pct_reads_aligned_in_pairs,pct_ribosomal_bases,pct_usable_bases,pct_utr_bases,percent_duplication,pf_aligned_bases,pf_aligned_bases,pf_bases,pf_hq_aligned_bases,pf_hq_aligned_q20_bases,pf_hq_aligned_reads,pf_hq_error_rate,pf_hq_median_mismatches,pf_indel_rate,pf_mismatch_rate,pf_noise_reads,pf_reads,pf_reads_aligned,read_pair_duplicates,read_pair_optical_duplicates,read_pairs_examined,reads_aligned_in_pairs,reads_aligned_sam,reads_with_mult_align,ribosomal_bases,strand_balance,too_low_aQual,total_reads,unmapped_reads,unpaired_read_duplicates,unpaired_reads_examined,utr_bases,mapped_reads_w_dups,%gc,adapter_content,basic_statistics,encoding,file_type,filename,kmer_content,overrepresented_sequences,per_base_n_content,per_base_sequence_content,per_base_sequence_quality,per_sequence_gc_content,per_sequence_quality_scores,per_tile_sequence_quality,sequence_duplication_levels,sequence_length,sequence_length_distribution,sequences_flagged_as_poor_quality,total_deduplicated_percentage,total_sequences,predicted_sex,sex_check,sexcheck_cutoff,sexcheck_eqn,total_counts,x_counts,x_genes,y_counts,y_genes,y_x_count_ratio,y_x_gene_ratio
lib45907_CE2DAANXX,12.0,87.7,2122,314,0.0,UNPAIRED,135719.0,1421.0,4995.0,0.0,1651.0,10087.0,12216.0,Unknown Library,54.396785,0.578434,0.520794,1.299065,0.972016,220,0,0.0,0.0,0.574448,0.462565,0.042694,0.051706,0.894553,1.0,1.0,0.0,0.011085,0.892143,0.320105,0.066652,236260.0,236260.0,236898.0,208413.0,195608.0,3840.0,0.002716,0.0,0.000102,0.002722,0.0,4355.0,4355.0,0.0,0.0,0.0,0.0,4381.0,524.0,2619.0,0.514581,0,4355.0,0.0,311.0,4666.0,75628.0,0.9341341341341342,53.0,pass,pass,Sanger / Illumina 1.9,Conventional base calls,FASTQC_OUT,pass,warn,pass,fail,pass,warn,pass,fail,pass,50-57,warn,0.0,93.41101694915255,4720.0,female,NA,0.5,(y_counts^2 / total_counts) > cutoff,3306,60,49,1,1,0.016666666666666666,0.02040816326530612
lib45908_CE2DAANXX,13.0,87.2,11056,1544,0.0,UNPAIRED,584199.0,7204.0,24142.0,0.0,7098.0,42656.0,57832.0,Unknown Library,54.683188,0.929949,0.342707,0.337838,0.867448,925,0,0.0,0.0,0.517284,0.503706,0.03777,0.051208,0.900591,1.0,1.0,0.0,0.010461,0.896759,0.383307,0.053571,1129358.0,1129358.0,1134184.0,992963.0,965426.0,18217.0,0.002681,0.0,0.000125,0.002773,0.0,20741.0,20741.0,0.0,0.0,0.0,0.0,21051.0,2740.0,11814.0,0.505954,0,20741.0,0.0,1174.0,21915.0,432891.0,0.9077541214480987,49.0,pass,pass,Sanger / Illumina 1.9,Conventional base calls,FASTQC_OUT,pass,pass,pass,fail,pass,warn,pass,fail,pass,50-57,warn,0.0,95.07900677200904,22150.0,female,NA,0.5,(y_counts^2 / total_counts) > cutoff,15748,471,173,1,1,0.0021231422505307855,0.005780346820809248
lib45909_CE2DAANXX,11.3,87.2,2149,346,0.0,UNPAIRED,152948.0,1627.0,5621.0,0.0,1807.0,9451.0,14112.0,Unknown Library,54.405172,0.761697,0.234203,0.896314,0.966226,259,0,0.0,0.0,0.578908,0.473791,0.035772,0.053414,0.901484,1.0,1.0,0.0,0.009334,0.898556,0.322576,0.070761,264201.0,264201.0,265062.0,235221.0,221732.0,4335.0,0.002993,0.0,9.1e-05,0.003077,0.0,4872.0,4872.0,0.0,0.0,0.0,0.0,4903.0,553.0,2466.0,0.518678,0,4872.0,0.0,371.0,5243.0,85225.0,0.9327521793275217,53.0,pass,pass,Sanger / Illumina 1.9,Conventional base calls,FASTQC_OUT,warn,warn,pass,fail,pass,warn,pass,fail,pass,50-57,warn,0.0,93.4302435340759,5297.0,female,NA,0.5,(y_counts^2 / total_counts) > cutoff,3730,96,53,3,3,0.03125,0.05660377358490566
lib45910_CE2DAANXX,17.1,52.3,1805342,126935,0.0,UNPAIRED,52974219.0,649742.0,4284950.0,0.0,634685.0,2219535.0,4834922.0,Unknown Library,55.273509,0.86521,0.533915,0.603747,0.391962,90348,0,0.0,0.0,0.530836,0.505861,0.022241,0.048449,0.927818,1.0,1.0,0.0,0.001505,0.924775,0.396982,0.55336,99793991.0,99793991.0,100122379.0,92876316.0,91399500.0,1684794.0,0.001886,0.0,0.000135,0.001992,0.0,1811399.0,1811399.0,0.0,0.0,0.0,0.0,2242296.0,382680.0,150237.0,0.499853,0,1811399.0,0.0,2244212.0,4055611.0,39616458.0,0.946478021913908,50.0,pass,pass,Sanger / Illumina 1.9,Conventional base calls,FASTQC_OUT,fail,pass,pass,fail,pass,warn,pass,warn,fail,50-57,warn,0.0,48.45041160094689,4084940.0,female,NA,0.5,(y_counts^2 / total_counts) > cutoff,1467511,47173,497,667,21,0.014139444173573866,0.04225352112676056
lib45911_CE2DAANXX,16.0,54.9,1591874,116426,0.0,UNPAIRED,48301005.0,601089.0,3829969.0,0.0,586558.0,2347303.0,7828748.0,Unknown Library,55.202034,0.865095,0.527842,0.592193,0.401631,144274,0,0.0,0.0,0.505125,0.506118,0.024548,0.081872,0.891843,1.0,1.0,0.0,0.001751,0.888918,0.386717,0.51993,95621795.0,95621795.0,95936443.0,89043289.0,87223449.0,1617285.0,0.002073,0.0,0.000135,0.002183,0.0,1737915.0,1737915.0,0.0,0.0,0.0,0.0,2101897.0,337118.0,167437.0,0.500058,0,1737915.0,0.0,1882213.0,3620128.0,36978589.0,0.9452107836904163,50.0,pass,pass,Sanger / Illumina 1.9,Conventional base calls,FASTQC_OUT,fail,pass,pass,fail,pass,pass,pass,warn,warn,50-57,warn,0.0,51.19449074097494,3655531.0,female,NA,0.5,(y_counts^2 / total_counts) > cutoff,1356585,42861,528,3,2,6.999370056694898e-05,0.003787878787878788
lib45912_CE2DAANXX,14.1,56.8,1581367,140159,0.0,UNPAIRED,59346700.0,732555.0,4271604.0,0.0,720963.0,2595111.0,7191955.0,Unknown Library,54.840178,0.855674,0.545342,0.634493,0.381557,136119,0,0.0,0.0,0.52526,0.503988,0.022969,0.063654,0.912008,1.0,1.0,0.0,0.001379,0.909098,0.386748,0.489547,112985293.0,112985293.0,113346916.0,105622313.0,103841405.0,1931096.0,0.001952,0.0,0.000126,0.002044,0.0,2066859.0,2066859.0,0.0,0.0,0.0,0.0,2424792.0,342561.0,155792.0,0.500495,0,2066859.0,0.0,1982206.0,4049065.0,43696789.0,0.9479027082098435,51.0,pass,pass,Sanger / Illumina 1.9,Conventional base calls,FASTQC_OUT,fail,pass,pass,fail,pass,warn,pass,warn,warn,50-57,warn,0.0,54.03686619232002,4081169.0,female,NA,0.5,(y_counts^2 / total_counts) > cutoff,1654818,52391,529,6,5,0.00011452348685842989,0.00945179584120983
lib45913_CE2DAANXX,16.3,55.3,1534020,110078,0.0,UNPAIRED,44900336.0,570354.0,3577578.0,0.0,550855.0,2281481.0,7161559.0,Unknown Library,55.291375,0.891913,0.484572,0.541477,0.420143,132224,0,0.0,0.0,0.496719,0.508696,0.025239,0.079226,0.893665,1.0,1.0,0.0,0.001888,0.890628,0.396946,0.511754,90393832.0,90393832.0,90702073.0,83991726.0,82673127.0,1523243.0,0.001933,0.0,0.000135,0.00204,0.0,1640438.0,1640438.0,0.0,0.0,0.0,0.0,1977578.0,323266.0,170684.0,0.501323,0,1640438.0,0.0,1719419.0,3359857.0,35881439.0,0.9391429061784258,49.0,pass,pass,Sanger / Illumina 1.9,Conventional base calls,FASTQC_OUT,fail,pass,pass,fail,pass,pass,pass,warn,warn,50-57,warn,0.0,52.11477668477824,3392800.0,female,NA,0.5,(y_counts^2 / total_counts) > cutoff,1280941,39834,523,2,2,5.020836471356128e-05,0.0038240917782026767
lib45914_CE2DAANXX,17.4,48.4,2540286,165289,0.0,UNPAIRED,72194599.0,825417.0,6087833.0,0.0,822555.0,2528206.0,7347223.0,Unknown Library,54.867166,0.784306,0.577407,0.713393,0.37419,135555,0,0.0,0.0,0.56802,0.500868,0.019892,0.057807,0.920886,1.0,1.0,0.0,0.001427,0.918402,0.352866,0.604944,127098647.0,127098647.0,127442436.0,118962257.0,117022282.0,2173097.0,0.001846,0.0,0.000121,0.001941,0.0,2322745.0,2322745.0,0.0,0.0,0.0,0.0,2944777.0,511516.0,181427.0,0.500384,0,2322745.0,0.0,3556789.0,5879534.0,44848823.0,0.9657843768053427,53.0,pass,pass,Sanger / Illumina 1.9,Conventional base calls,FASTQC_OUT,fail,pass,pass,fail,pass,pass,pass,warn,fail,50-57,warn,0.0,43.0406641930185,5915732.0,female,NA,0.5,(y_counts^2 / total_counts) > cutoff,1872253,57782,511,7,4,0.00012114499325049324,0.007827788649706457
lib45915_CE2DAANXX,17.4,51.0,2035821,133131,0.0,UNPAIRED,54994201.0,677407.0,4731327.0,0.0,669118.0,2500273.0,7459560.0,Unknown Library,54.861899,0.851321,0.522765,0.60419,0.393744,138011,0,0.0,0.0,0.518733,0.503078,0.023584,0.070362,0.904442,1.0,1.0,0.0,0.001627,0.90156,0.385709,0.567365,106016329.0,106016329.0,106355223.0,98825486.0,97304820.0,1805931.0,0.001932,0.0,0.000133,0.002049,0.0,1938599.0,1938599.0,0.0,0.0,0.0,0.0,2413467.0,420223.0,172493.0,0.500297,0,1938599.0,0.0,2542316.0,4480915.0,40891435.0,0.9470736222628451,51.0,pass,pass,Sanger / Illumina 1.9,Conventional base calls,FASTQC_OUT,warn,pass,pass,fail,pass,warn,pass,warn,fail,50-57,warn,0.0,46.79751553161463,4516600.0,female,NA,0.5,(y_counts^2 / total_counts) > cutoff,1534789,48232,518,668,21,0.013849726322773263,0.04054054054054054
lib45916_CE2DAANXX,15.6,57.2,1623868,124262,0.0,UNPAIRED,51298002.0,650657.0,3831235.0,0.0,630998.0,2443705.0,7328274.0,Unknown Library,55.254947,0.884365,0.50379,0.570681,0.402067,135002,0,0.0,0.0,0.504311,0.507669,0.024024,0.072044,0.902401,1.0,1.0,0.0,0.001542,0.899446,0.39809,0.48935,101718933.0,101718933.0,102053124.0,94794651.0,93153162.0,1720122.0,0.001955,0.0,0.000134,0.002058,0.0,1846950.0,1846950.0,0.0,0.0,0.0,0.0,2189871.0,341162.0,156855.0,0.500495,0,1846950.0,0.0,1769908.0,3616858.0,40493274.0,0.9440449359018698,50.0,pass,pass,Sanger / Illumina 1.9,Conventional base calls,FASTQC_OUT,fail,pass,pass,fail,pass,warn,pass,warn,warn,50-57,warn,0.0,54.13701235373012,3647676.0,female,NA,0.5,(y_counts^2 / total_counts) > cutoff,1460858,46242,515,658,17,0.014229488343929762,0.03300970873786408
