geneName,module,gene_biotype,hgnc_symbol,module.char,mod.color
ENSG00000136295,1,protein_coding,TTYH3,01,turquoise
ENSG00000136490,1,protein_coding,LIMD2,01,turquoise
ENSG00000136634,1,protein_coding,IL10,01,turquoise
ENSG00000136997,1,protein_coding,MYC,01,turquoise
ENSG00000137193,1,protein_coding,PIM1,01,turquoise
ENSG00000137309,1,protein_coding,HMGA1,01,turquoise
ENSG00000137331,1,protein_coding,IER3,01,turquoise
ENSG00000137474,1,protein_coding,MYO7A,01,turquoise
ENSG00000137478,1,protein_coding,FCHSD2,01,turquoise
ENSG00000137996,1,protein_coding,RTCA,01,turquoise
ENSG00000138061,1,protein_coding,CYP1B1,01,turquoise
ENSG00000138166,1,protein_coding,DUSP5,01,turquoise
ENSG00000138316,1,protein_coding,ADAMTS14,01,turquoise
ENSG00000138668,1,protein_coding,HNRNPD,01,turquoise
ENSG00000139344,1,protein_coding,AMDHD1,01,turquoise
ENSG00000139438,1,protein_coding,FAM222A,01,turquoise
ENSG00000139572,1,protein_coding,GPR84,01,turquoise
ENSG00000139687,1,protein_coding,RB1,01,turquoise
ENSG00000140368,1,protein_coding,PSTPIP1,01,turquoise
ENSG00000140416,1,protein_coding,TPM1,01,turquoise
ENSG00000140511,1,protein_coding,HAPLN3,01,turquoise
ENSG00000140525,0,protein_coding,FANCI,00,grey
ENSG00000140548,1,protein_coding,ZNF710,01,turquoise
ENSG00000140807,1,protein_coding,NKD1,01,turquoise
ENSG00000140859,1,protein_coding,KIFC3,01,turquoise
ENSG00000140932,1,protein_coding,CMTM2,01,turquoise
ENSG00000142185,1,protein_coding,TRPM2,01,turquoise
ENSG00000142230,1,protein_coding,SAE1,01,turquoise
ENSG00000142512,1,protein_coding,SIGLEC10,01,turquoise
ENSG00000143179,1,protein_coding,UCK2,01,turquoise
ENSG00000143344,1,protein_coding,RGL1,01,turquoise
ENSG00000143847,1,protein_coding,PPFIA4,01,turquoise
ENSG00000143862,1,protein_coding,ARL8A,01,turquoise
