X_variable,SPLS_selected,R_vA_insula,L_vA_insula,R_dA_insula,L_dA_insula,R_HO_amgy,L_HO_amyg,pACC,dACC
module_BAL_EOS_02,Y,0.4697643704482673,0.41679570543324934,0.4930912675204644,0.07869076705224212,0.5509976861702457,0.26611865958190306,0.2801408505829218,0.3837667268069852
CCL21,Y,0.18053458311492984,0.3549042380140233,0.3390904146703361,0.26082155113325695,0.5885167990352866,0.5849698715036274,0.2257033596659161,0.1581686717160648
CCL26,Y,0.5372579394540572,0.29877356031784613,0.4540440499820913,0.12978071840522562,0.4244125931634234,0.16520491296290174,0.5427169841889412,0.39899961070298595
CCL27,Y,0.24644953710876774,0.5081152763735229,0.36463251076323655,0.22225571460987512,0.46731193912422403,0.40064219322285133,0.2590459668003194,0.16804865828526622
CCL7,Y,0.28845874859852816,0.17628492365396353,0.3103678386703912,0.11365696747845465,0.5391470354245073,0.3953583119638775,0.2829359409164802,0.27665285848455023
CXCL1,Y,-0.6222976346306764,0.3217605516999747,-0.6482853032887482,0.019702837246849673,-0.19115609437181685,0.005167999967766548,0.09318373368262658,0.013941655322279572
FLT3L,Y,-0.02136711214866053,0.6220301088181838,0.020644312319494366,0.38295726945308267,0.42821529548805,0.6364237226333004,0.37631196468489736,0.17639784218138177
GCSF,Y,0.24720883605113492,0.41883654707449486,0.4181907614310053,0.5315399332931875,0.4398026957218742,0.5158723971741266,0.17945507578723227,0.25152472182515223
GMCSF,Y,0.20731665820333656,0.1853195203089423,0.373370912043768,0.18153419371138435,0.46157022005042087,0.47038924507354196,0.2316653395843546,0.32003838238192256
IFNA2,Y,-0.21957933536552274,0.5378357745572434,0.16203397562030183,0.37999186938827395,0.6811013240677969,0.5675558255654573,0.13458264728607372,0.36405754895177656
IL10,Y,0.09687385577362495,0.5302182853467575,0.23879061651074224,0.1749915652165894,0.5237458295346736,0.45385068814196555,0.2968484741859212,0.24465665757522753
IL16,Y,0.42438941787871814,-0.5300152195575611,0.31781547652138314,-0.5029364789798324,-0.038397711751029164,-0.2086800493575229,-0.04601057709420766,0.035246351671638594
IL17A,Y,0.23064496306685936,0.43049751409052633,0.37606644222643987,0.2281448731465298,0.6610063684363546,0.5145342342353821,0.3915937196293511,0.24782494805621955
IL23,Y,0.16294642852518593,0.3979540377039661,0.4023196819280363,0.30114201327714923,0.4345279803673635,0.5622270108863059,0.09717422009876647,0.17491183306499652
PDGFAA,Y,-0.10891347908259873,0.7326534904746781,0.00426745097075892,0.5192150831674671,0.41835734936809116,0.6169719486967278,0.2894988734643291,0.15251801267001305
TGFA,Y,0.22842823750030966,0.553774483923268,0.31833045258973214,0.11688878068672288,0.3948650648628309,0.34993713683804717,0.41788305171636353,0.4609674844860732
module_BAL_EOS_01,NA,0.2297978692812071,0.18861426390536248,0.1958249701785453,-0.14455093257671717,0.22311722254708932,0.003155933140562531,0.09726696947414994,0.17206379066950128
