STRING_id,gene,mod,cyto
9606.ENSP00000320543,EPN2,1,0
9606.ENSP00000321976,NKPD1,1,0
9606.ENSP00000326630,ZFPM1,1,0
9606.ENSP00000327048,MAF,1,0
9606.ENSP00000327890,IL3RA,1,0
9606.ENSP00000327968,SNAI3,1,0
9606.ENSP00000328625,NRROS,1,0
9606.ENSP00000329668,SHC4,1,0
9606.ENSP00000329918,MEX3B,1,0
9606.ENSP00000329933,PHF12,1,0
9606.ENSP00000330051,MFSD6L,1,0
9606.ENSP00000333433,SKA2,1,0
9606.ENSP00000333685,MAPK11,1,0
9606.ENSP00000333994,HBB,1,0
9606.ENSP00000334040,RSBN1L,1,0
9606.ENSP00000334163,SPIN4,1,0
9606.ENSP00000334308,SYNE3,1,0
9606.ENSP00000334474,ZMIZ1,1,0
9606.ENSP00000334675,ERCC6L,1,0
9606.ENSP00000334974,C3orf70,1,0
9606.ENSP00000335040,FAM129C,1,0
9606.ENSP00000335306,DPPA4,1,0
9606.ENSP00000335557,SLX4IP,1,0
9606.ENSP00000339245,YTHDC1,1,0
9606.ENSP00000340494,ZNF395,1,0
9606.ENSP00000340761,BRI3BP,1,0
9606.ENSP00000343526,USP1,1,0
9606.ENSP00000343899,FRMD6,1,0
9606.ENSP00000344192,IL17A,0,1
9606.ENSP00000344299,PTAR1,1,0
9606.ENSP00000345230,TPM4,1,0
9606.ENSP00000346130,SVIP,1,0
9606.ENSP00000346508,PDGFA,0,1
9606.ENSP00000346959,SLC38A6,1,0
9606.ENSP00000346986,WAC,1,0
9606.ENSP00000347847,MKL1,1,0
9606.ENSP00000347942,RET,1,0
9606.ENSP00000348108,KHDRBS3,1,0
9606.ENSP00000348161,GPR160,1,0
9606.ENSP00000348168,GTF2E2,1,0
9606.ENSP00000348299,TRIM13,1,0
9606.ENSP00000348708,UPF2,1,0
9606.ENSP00000348924,HIST1H2BF,1,0
9606.ENSP00000348959,MAN1A2,1,0
9606.ENSP00000349575,MOB3A,1,0
9606.ENSP00000350359,CREB5,1,0
9606.ENSP00000350718,TMCC2,1,0
9606.ENSP00000350911,CTSE,1,0
9606.ENSP00000351022,TPM1,1,0
9606.ENSP00000351157,TXNDC15,1,0
9606.ENSP00000351539,ZBTB18,1,0
9606.ENSP00000351631,FAM76B,1,0
9606.ENSP00000351989,SFTA2,1,0
9606.ENSP00000352172,VSIG10,1,0
9606.ENSP00000352821,ZDHHC14,1,0
9606.ENSP00000354053,GLT8D2,1,0
9606.ENSP00000354280,PRSS3,1,0
9606.ENSP00000354837,ARHGEF2,1,0
9606.ENSP00000355387,SCAMP5,1,0
9606.ENSP00000355577,SLC35F3,1,0
9606.ENSP00000356430,RGS18,1,0
9606.ENSP00000356581,ADGRG6,1,0
9606.ENSP00000357057,CASQ1,1,0
9606.ENSP00000357219,TTC24,1,0
9606.ENSP00000357474,CEP85L,1,0
9606.ENSP00000357516,TPM3,1,0
9606.ENSP00000357556,VENTX,1,0
9606.ENSP00000357726,S100A12,1,0
9606.ENSP00000357858,BUB3,1,0
9606.ENSP00000357907,CDK19,1,0
