P337_BAL_EOS.pct.1,P337_BAL_EOS.pct.2,P337_BAL_EOS.pct.3,P337_BAL_EOS.pct.4,P337_BAL_EOS.pct.5,P337_BAL_EOS.pct.6,P337_BAL_EOS.pct.7,P337_BAL_EOS.pct.8,P337_BAL_EOS.pct.9
ENSG00000103522,ENSG00000120949,ENSG00000115687,ENSG00000125354,ENSG00000144579,ENSG00000134954,ENSG00000138413,ENSG00000176890,
ENSG00000104341,ENSG00000121570,ENSG00000115896,ENSG00000125459,ENSG00000144867,ENSG00000135083,ENSG00000138449,ENSG00000178999,
ENSG00000104783,ENSG00000122545,ENSG00000115935,ENSG00000125912,ENSG00000145050,ENSG00000135127,ENSG00000138801,ENSG00000179750,
ENSG00000104921,ENSG00000122696,ENSG00000116604,ENSG00000126246,ENSG00000145494,ENSG00000135925,ENSG00000139350,ENSG00000183048,
ENSG00000104974,ENSG00000122852,ENSG00000117000,ENSG00000127191,ENSG00000147155,ENSG00000136244,ENSG00000139641,ENSG00000183150,
ENSG00000105088,ENSG00000123374,ENSG00000117222,ENSG00000129116,ENSG00000147586,ENSG00000136425,ENSG00000139687,ENSG00000186185,
ENSG00000105122,ENSG00000123609,ENSG00000117394,ENSG00000129173,ENSG00000148335,ENSG00000136573,ENSG00000139697,ENSG00000186280,
ENSG00000105205,ENSG00000124134,ENSG00000117461,ENSG00000129355,ENSG00000148362,ENSG00000137078,ENSG00000140259,ENSG00000188486,
ENSG00000105323,ENSG00000124233,ENSG00000117834,ENSG00000130222,ENSG00000148908,ENSG00000137331,ENSG00000140548,ENSG00000189057,
ENSG00000105339,ENSG00000124507,ENSG00000118058,ENSG00000130305,ENSG00000151176,ENSG00000137507,ENSG00000140743,ENSG00000196230,
ENSG00000105366,ENSG00000124635,ENSG00000118432,ENSG00000130560,ENSG00000152082,ENSG00000137571,ENSG00000140829,ENSG00000198901,
ENSG00000105369,ENSG00000124780,ENSG00000118515,ENSG00000130734,ENSG00000153391,ENSG00000138166,ENSG00000141179,ENSG00000276043,
ENSG00000105514,ENSG00000125869,ENSG00000119326,ENSG00000130816,ENSG00000153443,ENSG00000139193,ENSG00000141458,,
ENSG00000105556,ENSG00000126251,ENSG00000119778,ENSG00000131236,ENSG00000153574,ENSG00000140511,ENSG00000141556,,
ENSG00000105697,ENSG00000126822,ENSG00000120137,ENSG00000131378,ENSG00000155115,ENSG00000141682,ENSG00000142197,,
ENSG00000105810,ENSG00000127124,ENSG00000120279,ENSG00000132323,ENSG00000155719,ENSG00000141753,ENSG00000142347,,
ENSG00000105889,ENSG00000127423,ENSG00000120868,ENSG00000132383,ENSG00000156858,ENSG00000141985,ENSG00000143418,,
ENSG00000105926,ENSG00000128218,ENSG00000122223,ENSG00000132773,ENSG00000156860,ENSG00000142583,ENSG00000143799,,
ENSG00000106003,ENSG00000128342,ENSG00000122482,ENSG00000132825,ENSG00000157045,ENSG00000143333,ENSG00000145246,,
ENSG00000106070,ENSG00000128656,ENSG00000122779,ENSG00000133226,ENSG00000157216,ENSG00000144040,ENSG00000145819,,
ENSG00000106366,ENSG00000128965,ENSG00000123066,ENSG00000134779,ENSG00000157600,ENSG00000144152,ENSG00000145882,,
ENSG00000106624,ENSG00000129317,ENSG00000123104,ENSG00000135953,ENSG00000157933,ENSG00000144893,ENSG00000147457,,
ENSG00000106868,ENSG00000130037,ENSG00000123643,ENSG00000136261,ENSG00000158186,ENSG00000145936,ENSG00000148841,,
ENSG00000106948,ENSG00000130300,ENSG00000123684,ENSG00000136485,ENSG00000159352,ENSG00000146021,ENSG00000149428,,
ENSG00000107281,ENSG00000130561,ENSG00000123700,ENSG00000136630,ENSG00000160014,ENSG00000146285,ENSG00000151229,,
ENSG00000107719,ENSG00000130943,ENSG00000123908,ENSG00000136720,ENSG00000160117,ENSG00000146918,ENSG00000153317,,
ENSG00000107738,ENSG00000131149,ENSG00000124126,ENSG00000136933,ENSG00000160209,ENSG00000149289,ENSG00000154237,,
ENSG00000107960,ENSG00000131242,ENSG00000124783,ENSG00000137094,ENSG00000160256,ENSG00000152766,ENSG00000154822,,
ENSG00000108551,ENSG00000131773,ENSG00000124813,ENSG00000137496,ENSG00000160360,ENSG00000152784,ENSG00000155097,,
ENSG00000108604,ENSG00000132359,ENSG00000125637,ENSG00000137807,ENSG00000160783,ENSG00000153283,ENSG00000155561,,
ENSG00000108688,ENSG00000132749,ENSG00000125686,ENSG00000138092,ENSG00000161013,ENSG00000154016,ENSG00000155846,,
ENSG00000108691,ENSG00000132964,ENSG00000125871,ENSG00000138175,ENSG00000161682,ENSG00000155961,ENSG00000156136,,
ENSG00000108950,ENSG00000133069,ENSG00000126261,ENSG00000138182,ENSG00000161835,ENSG00000156127,ENSG00000156471,,
ENSG00000109685,ENSG00000133661,ENSG00000126391,ENSG00000138621,ENSG00000161981,ENSG00000156738,ENSG00000156983,,
ENSG00000110047,ENSG00000133997,ENSG00000127311,ENSG00000139266,ENSG00000162222,ENSG00000157193,ENSG00000157538,,
ENSG00000110721,ENSG00000134042,ENSG00000127481,ENSG00000139405,ENSG00000162734,ENSG00000157833,ENSG00000159314,,
ENSG00000110934,ENSG00000134531,ENSG00000127507,ENSG00000140931,ENSG00000163251,ENSG00000158050,ENSG00000160200,,
ENSG00000111012,ENSG00000134882,ENSG00000127603,ENSG00000140992,ENSG00000163602,ENSG00000158714,ENSG00000160218,,
ENSG00000111145,ENSG00000134986,ENSG00000127954,ENSG00000140995,ENSG00000163866,ENSG00000159674,ENSG00000160584,,
ENSG00000111186,ENSG00000135424,ENSG00000128011,ENSG00000141401,ENSG00000163923,ENSG00000160050,ENSG00000160703,,
ENSG00000111224,ENSG00000135503,ENSG00000128487,ENSG00000141562,ENSG00000164086,ENSG00000160307,ENSG00000161217,,
ENSG00000111913,ENSG00000135625,ENSG00000128595,ENSG00000142546,ENSG00000165233,ENSG00000160606,ENSG00000162434,,
ENSG00000112031,ENSG00000135845,ENSG00000128596,ENSG00000143033,ENSG00000165416,ENSG00000160654,ENSG00000162702,,
ENSG00000112195,ENSG00000136014,ENSG00000129467,ENSG00000143067,ENSG00000165716,ENSG00000161405,ENSG00000162894,,
ENSG00000112561,ENSG00000136155,ENSG00000129675,ENSG00000143319,ENSG00000165916,ENSG00000161618,ENSG00000163219,,
ENSG00000112759,ENSG00000136240,ENSG00000130433,ENSG00000143321,ENSG00000166311,ENSG00000162490,ENSG00000163348,,
ENSG00000112877,ENSG00000136527,ENSG00000131018,ENSG00000143387,ENSG00000166925,ENSG00000162746,ENSG00000163788,,
ENSG00000113296,ENSG00000136634,ENSG00000132329,ENSG00000143740,ENSG00000167173,ENSG00000162892,ENSG00000165209,,
ENSG00000113448,ENSG00000136830,ENSG00000132849,ENSG00000143870,ENSG00000167286,ENSG00000163508,ENSG00000165359,,
ENSG00000113532,ENSG00000137996,ENSG00000133119,ENSG00000144401,ENSG00000167470,ENSG00000163519,ENSG00000165997,,
ENSG00000113749,ENSG00000138316,ENSG00000133561,ENSG00000145194,ENSG00000167642,ENSG00000163535,ENSG00000166747,,
ENSG00000113758,ENSG00000138376,ENSG00000133657,ENSG00000145331,ENSG00000167680,ENSG00000163564,ENSG00000166750,,
ENSG00000114270,ENSG00000138395,ENSG00000134107,ENSG00000145723,ENSG00000167797,ENSG00000163599,ENSG00000167325,,
ENSG00000114541,ENSG00000138430,ENSG00000134215,ENSG00000146776,ENSG00000168002,ENSG00000163739,ENSG00000167395,,
ENSG00000114737,ENSG00000138668,ENSG00000134324,ENSG00000147535,ENSG00000168273,ENSG00000163975,ENSG00000167695,,
ENSG00000114993,ENSG00000138814,ENSG00000134602,ENSG00000147548,ENSG00000168298,ENSG00000164342,ENSG00000167721,,
ENSG00000115590,ENSG00000139055,ENSG00000134744,ENSG00000147905,ENSG00000168427,ENSG00000164626,ENSG00000168016,,
ENSG00000115602,ENSG00000139083,ENSG00000134755,ENSG00000148180,ENSG00000168887,ENSG00000165507,ENSG00000168411,,
ENSG00000115657,ENSG00000139344,ENSG00000134910,ENSG00000148248,ENSG00000169057,ENSG00000165929,ENSG00000168615,,
ENSG00000115828,ENSG00000139438,ENSG00000135048,ENSG00000148835,ENSG00000169136,ENSG00000166105,ENSG00000168918,,
ENSG00000116017,ENSG00000139880,ENSG00000135269,ENSG00000149418,ENSG00000169564,ENSG00000166289,ENSG00000169180,,
ENSG00000116031,ENSG00000139926,ENSG00000135365,ENSG00000149485,ENSG00000169926,ENSG00000166341,ENSG00000169914,,
ENSG00000116478,ENSG00000139946,ENSG00000135480,ENSG00000149636,ENSG00000171044,ENSG00000167536,ENSG00000170085,,
ENSG00000116544,ENSG00000139974,ENSG00000135870,ENSG00000149923,ENSG00000171634,ENSG00000167550,ENSG00000170322,,
ENSG00000116771,ENSG00000140030,ENSG00000136068,ENSG00000150756,ENSG00000171643,ENSG00000167664,ENSG00000170836,,
ENSG00000116852,ENSG00000140279,ENSG00000136153,ENSG00000151287,ENSG00000171700,ENSG00000167895,ENSG00000171681,,
ENSG00000116990,ENSG00000140350,ENSG00000136169,ENSG00000151466,ENSG00000171703,ENSG00000167984,ENSG00000172943,,
ENSG00000117115,ENSG00000140416,ENSG00000136193,ENSG00000151746,ENSG00000172005,ENSG00000168081,ENSG00000173011,,
ENSG00000117298,ENSG00000140678,ENSG00000136731,ENSG00000152315,ENSG00000172366,ENSG00000168280,ENSG00000173020,,
ENSG00000117594,ENSG00000141030,ENSG00000136960,ENSG00000154889,ENSG00000172590,ENSG00000168306,ENSG00000173334,,
ENSG00000117602,ENSG00000141127,ENSG00000137478,ENSG00000154920,ENSG00000172613,ENSG00000168394,ENSG00000173757,,
ENSG00000118242,ENSG00000141469,ENSG00000137642,ENSG00000155660,ENSG00000172724,ENSG00000168421,ENSG00000174243,,
ENSG00000118308,ENSG00000141965,ENSG00000137942,ENSG00000156709,ENSG00000172775,ENSG00000168785,ENSG00000174842,,
ENSG00000118707,ENSG00000142408,ENSG00000138185,ENSG00000156831,ENSG00000173272,ENSG00000169129,ENSG00000175115,,
ENSG00000118785,ENSG00000142409,ENSG00000138688,ENSG00000156873,ENSG00000173457,ENSG00000169194,ENSG00000175899,,
ENSG00000118971,ENSG00000142549,ENSG00000138764,ENSG00000157014,ENSG00000174943,ENSG00000169884,ENSG00000176619,,
