geneName,lib45897,lib45898,lib45899,lib45900,lib45901,lib45902,lib45903,lib45904,lib45905,lib45906,lib45911,lib45912,lib45913,lib45914,lib45915,lib45916,lib45917,lib45918,lib45919,lib45920,lib45921,lib45922,lib45923,lib45924,lib45925,lib45926,lib45927,lib45928,lib45929,lib45930,lib45931,lib45932,lib45935,lib45936,lib45937,lib45938,lib48615,lib48616,lib48617,lib45910,lib45933,lib45934,lib45939,lib45940
ENSG00000000003,2.1905837366863397,1.6080541663232197,4.527274323704661,3.7000771521888334,4.796080888360508,0.978376003972545,-1.6206154682444927,3.6635283390077946,1.6472103923742683,-1.9435361988571886,2.1042549474427443,2.2697992581028705,4.775184509131257,1.321955528588496,1.634601015738771,-1.4828004503522032,4.367238173403351,-1.855679340120308,1.7453316508575962,-0.01980347169600789,2.2583221484229816,0.7105986960322646,4.178017549837004,1.8104253929350462,2.1666792799015493,5.729742191106906,3.5987043144817656,2.9315852690765176,2.8228859721870645,-0.04911488271902293,-0.0865653434701763,1.2653622046242776,3.358538072267559,5.597234554748483,-1.8117511188519568,-0.7086875448367868,2.796329538299702,-0.23555141238249205,2.97594196677068,0.08570776409716864,5.76861145766965,2.7769495626429253,3.483090703720675,1.770879183078675
ENSG00000000419,6.338482431798653,5.43587319094054,6.343074314018521,6.230025550905507,5.940182114344866,6.209940071207243,5.7802639680376915,5.865162200177445,5.961101168196213,5.491092028779536,6.112428878888444,6.239425609059351,6.021978273957839,5.714272951367256,6.1441561138019045,6.522824098841675,6.157600024547649,6.080958598882263,5.8327944921079355,5.79611346386502,6.205151489401644,5.902617468325193,6.132736670536137,6.254643917625836,6.104023672051782,6.588668657820115,5.884861278347306,6.311124087133975,6.165278169634142,6.433088043576932,6.180221197224725,6.065337596316285,5.6585236142742446,5.460324610534133,5.2862809641085695,5.654717186026734,5.92134211786644,5.9141957071221904,5.918860871563413,6.2886478227674445,5.6984361636100935,5.701922517234902,3.0960675806114275,6.243366954541418
ENSG00000000457,3.2547140741060554,4.330520190794311,1.1448046868822475,4.016104645636511,2.6561506272160327,4.360845640794958,3.3335808421423825,4.148955166178037,3.8348373955500397,3.7288891431143067,1.452178250863051,3.9174975141719894,2.9570228321170697,3.106226837533059,1.634601015738771,3.646482566592763,3.2944818309680364,4.448101408056795,4.51471872271618,3.7527860322009197,3.3679466395974798,4.016407125556349,2.5602651139981782,3.942875688958696,4.030617730325521,3.957609742509505,4.092518927144726,4.05934081627489,2.9541305054653173,4.198812630724563,4.000897497780163,3.212894784730142,4.961534495818976,4.081812987280403,3.680101977477718,4.695034641214223,3.0676315601170963,3.7340749385739893,2.510278394421868,2.8930626861547726,4.855822453752047,4.010439692862704,1.717555957357698,2.6188760896336247
ENSG00000000460,1.0530802129364047,3.7672527611724735,3.0923372669881117,1.5447989267109221,2.6561506272160327,2.2584839231652802,2.0798242498965998,3.300958259623086,3.335266386059528,-1.9435361988571886,4.136676425135121,2.063348380635444,1.5164502407310885,-0.2630069721326602,4.019264865974096,2.909516972426557,0.7584289307278264,3.0985169702665676,3.0407875343837674,3.604687393211786,3.791754348504056,3.4714110321528384,2.8315671358155727,3.3953878936562027,2.0463850461838375,3.0483752064326874,2.938190780753432,1.6361293855503465,2.518031390658644,2.914359241255863,1.1358270778662716,3.412203592953549,2.385505119867828,3.9012407416385826,4.5280988840326675,3.7724391448998293,3.4302016395018047,-1.820513913103648,3.3274143372720575,1.3081001854336165,3.2048966906525322,3.9073461998986,2.565552863912648,2.6188760896336247
ENSG00000000938,8.565623168033264,8.852814400688123,8.513622913932133,8.870819776232167,9.03633107083038,9.07414975872726,8.611805458931585,8.281505896956913,8.324342737023292,8.621565879503125,8.798375360513559,9.101845344170492,8.76030425958825,8.902737513371132,8.457614350462272,8.927650901151791,8.73456340355948,8.730222109570464,8.43945206392841,8.608338247224744,9.058200188986985,8.858651516997071,8.648459359594165,8.847233017821692,8.273530076351774,8.749491452155175,8.66786633898916,8.853536373387202,8.26819648257971,8.594019779138241,9.095829009934352,9.108161496241767,8.201422055428855,8.589047973353937,9.171955073807393,8.687203560821793,9.066987356024727,9.052160967166957,8.429709286648068,8.403120377862038,8.399221561647625,8.554049346770634,8.250496245730572,8.675363280980099
ENSG00000000971,0.3161146187701984,1.6080541663232197,2.5853772782682287,2.1728301493239646,1.9887259663029038,1.630452700552238,2.90294648781252,2.4196027561217055,1.28464031298956,1.5158954197801087,3.2886795185801714,1.8223402811316491,1.0310234135608467,-1.8479694728538163,1.2720309363540627,1.6871245510901094,3.2944818309680364,2.392248173323278,1.0932549542779033,1.20258894964044,-1.9896053650206038,1.7886012080335376,2.4571716210340746,-0.30505182448488966,2.8803750947449087,3.9946039499917068,1.4434260890038544,2.8205539566877738,3.288549544535876,1.5358476180021332,0.6504002506960298,1.2653622046242776,3.5132606670662008,2.8818754167716514,-1.8117511188519568,0.8762749558843694,-0.47668895610671386,2.4274136003399374,1.8184006897842002,-1.4992547366239874,4.086252194153913,4.387675159429163,0.980590363191492,1.770879183078675
ENSG00000001036,7.5735024614628506,7.265313060700433,7.4062280428100555,7.237652150380207,7.442359740402088,7.348440619904178,7.653180130969772,7.724344340192392,7.416864605246649,7.34878543394485,7.461806952060828,7.320010704056638,7.412998892118148,7.304315369452766,7.319544397556695,7.340566789694032,7.340382681576644,7.316748168525175,7.391808540791456,7.358130032920097,7.1370991078225865,7.297230017114039,7.216011714823043,7.341206855505139,7.338206385940364,7.1316923694254735,7.271706849916007,7.0562810165258325,7.582853391714886,7.267392936384087,7.574024862064349,7.521402363855183,7.322361136875634,7.428978373666789,7.314953353991233,7.308120742849767,7.565882427644922,7.232054137700506,7.098100549282265,7.6781648013652495,6.973777464895501,6.518780911980947,7.42353385904022,6.743571837082939
ENSG00000001084,5.17409561389777,3.80968802749287,4.746840700962345,5.140649743574815,4.956545560553754,4.360845640794958,4.356664455255424,4.438461783373021,3.762687609794204,4.246288360022828,4.4261830423301065,4.80585215834308,4.937914009169365,4.810242009897978,3.6741293799254082,4.245120004210996,4.586247955345146,4.166688472908147,5.251684316882386,4.176593741107496,5.305015383871023,4.22717422177317,5.528832606161521,5.075769959456041,4.465337595466065,4.850694538592993,4.752178795143483,3.5342497715311327,5.0004241577392525,3.9327377705707174,5.0149726829918855,4.933740713533072,4.961534495818976,4.661106737914867,5.949800113592523,5.268592378663129,4.205135083867032,4.288010543674521,5.060475476982348,4.804526011553115,6.456815064292153,5.9381836038211935,6.26599258205374,2.6188760896336247
ENSG00000001167,5.30100772637999,5.380643670220147,5.497321101603033,5.0740519948457905,5.100935469888928,5.159705768687107,5.199563494170695,5.7641322799462005,5.8436076051777714,5.0676910565660656,5.244736170992574,5.077154180160474,5.2482541297815155,4.893497513547331,5.1789215319625805,5.23144506731392,5.402285120502551,4.938736526229798,5.524304771545378,5.5141751003063435,5.689874734484842,5.288866544179412,5.381764218376052,5.702442712062035,5.459461029129395,5.685176638673462,4.972679157138724,5.395866287375211,4.969727360516336,5.294292939578791,5.405287752859499,5.199474268967821,6.504061730219736,6.327058079670669,6.459711909052418,5.939969631201759,5.589400234351059,5.256301683947183,4.886145296420034,4.478025186875929,6.251589926100574,6.483375575849748,4.150515364633804,5.331594137553154
ENSG00000001460,5.140543054186744,4.881072660729636,4.26818710238753,3.1297614274320784,4.501175967239692,4.613964577763669,5.298247769030102,5.3112265950769135,5.047140999262904,5.089886802680262,5.274179948885057,3.6483108813566,4.63983265623637,5.185453528683634,5.034531622627407,4.666946669152479,4.586247955345146,3.636173756209367,5.669604324694351,5.942128487470473,4.3854340663263205,5.1181025226257,5.436993739096445,4.61778031499265,5.271015939716285,4.609686439089198,5.384873906648742,4.40551645740893,4.496657739866077,3.737481479171784,5.383754591309858,5.144507809749892,5.531484425685108,5.40713167136854,5.2862809641085695,5.237731414958369,5.673058163397968,4.156766010396268,5.918860871563413,4.3833883127378535,5.454155717841663,2.925048201632059,5.123548317033535,2.90838270682861
